     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     48600,       227,         0,   0.022,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
    145800,       651,         0,   0.062,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
    437400,      1791,         0,   0.185,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    437400,      1744,         0,   0.185,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    218700,       971,         0,   0.092,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
    729000,      2936,         0,   0.302,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         0,         0,   0.001,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         0,         0,   0.001,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
       600,         0,         0,   0.001,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
      1800,         7,         0,   0.003,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
      5400,        28,         0,   0.003,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    437400,      1934,         0,   0.189,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
     16200,        75,         0,   0.008,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
     16200,        73,         0,   0.008,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
     48600,       248,         0,   0.022,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    437400,      1926,         0,   0.187,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
     81000,       396,         0,   0.036,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    178200,       845,         0,   0.078,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    178200,       832,         0,   0.079,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    340200,      1630,         0,   0.149,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         0,         0,   0.001,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
