     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1800,        22,       430,   0.013,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      1800,        27,       428,   0.013,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      5400,        89,      1268,   0.026,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    213658,      2474,     51483,   0.173,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      9000,       158,      2215,   0.037,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    264600,      3193,     63841,   0.216,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     19800,       347,      4746,   0.077,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     19800,       325,      4844,   0.076,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     17100,       309,      4114,   0.067,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     37800,       710,      9119,   0.141,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     77400,      1381,     18863,   0.280,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         1,        24,   0.000,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       200,         0,        55,   0.000,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       600,         2,       148,   0.001,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      1800,        12,       442,   0.001,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      5400,        27,      1380,   0.002,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     16200,        78,      3868,   0.004,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     48600,       233,     11792,   0.011,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    145800,       739,     35155,   0.033,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    437400,      2203,    105443,   0.094,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    117000,      1993,     27981,   0.439,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
